Code,Part no,Partcode,Desc,Plan-IT FC,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,Total Qty,Sales Trend,L12 M sales,L6 M Sales,L3 M Sales,Max,Trend,Monthly FC  L6 M,FC Variance,% Variance,Trend
HY,5739980178,HY5739980178,PROXIMITY SENSOR E2A-M18KS08-WP-C2 2M,,,,,,,,,,,,,1,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
HY,5739980630,HY5739980630,CL BUSH,,,,10,,,,,,,,,,10,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
HY,71875450,HY71875450,SPH.BEARING GE50UK2RS XID,,,,,,,,,,,,1,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
HY,8102117,HY8102117,BREATHER FILTER,,,,,,,4,1,34,1,,,,40,, 3 , 6 , -   , 6 , -   , 6.00 , 6.00 , 100.0% ▲, Downward Trend
IN2,210404400,IN2210404400,ECO LI PLUS GREASE,,,,,,,,,,,10,,,10,, 1 , 2 , 3 , 3 , 3.00 , 2.00 , 2.00 , 100.0% ▲, Upward Trend
IN2,1635305,IN21635305,1ST LEAF(257654,,,,,,,,1,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,20844993,IN220844993,MAIN LEAF-257934,,,,,,4,,,2,,,,,6,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
IN2,20932235,IN220932235,2ND LEAF FIRST AXLE,,2,,2,2,1,,,6,,,,,13,, 1 , 1 , -   , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
IN2,20932237,IN220932237,2ND LEAF - 257931,,,,,2,,,,3,,,,,5,, -   , 1 , -   , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
IN2,20932244,IN220932244,3RD LEAF - 257931,,,,,1,1,,,,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,20932245,IN220932245,3RD LEAF FIRST AXLE,,,,,2,,,,,2,,,,4,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,20940495,IN220940495,SHACKLE 1,,,,,,,,,1,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,20940508,IN220940508,SHACKLE 2,,,,,,,,,1,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,20941429,IN220941429,SCREW,,,,4,,,4,,,,,,,8,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
IN2,24078865,IN224078865,COOLANT,,,,,,-5,5,,,,,,,0,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,24425867,IN224425867,MAIN LEAF - 257931,,,,,2,3,,,2,,,2,,9,, 1 , 1 , 1 , 1 , 1.00 , 1.00 , 1.00 , 100.0% ▲, Moderate Trend
IN2,24754666,IN224754666,COOLANT-VCS2 210L,,744,360,730,575,494,409,1012,2337,1011,696,315,427,9110,, 759 , 966 , 479 , 966 , 0.60 , 966.00 , 966.00 , 100.0% ▲, Downward Trend
IN2,36107,IN236107,FILTER ELEMENT,,6,4,14,5,4,4,5,6,3,3,3,3,60,, 5 , 4 , 3 , 5 , 0.60 , 4.00 , 4.00 , 100.0% ▲, Downward Trend
IN2,464112-102,IN2464112-102,TYRE 295/80R 22.5 X MULTI D+TL-(MICHELIN),,,,,,,,,,,,,11,11,, 1 , 2 , 4 , 4 , 4.00 , 2.00 , 2.00 , 100.0% ▲, Upward Trend
IN2,56107,IN256107,recor filter,,42,21,72,38,7,22,63,96,21,12,1,23,418,, 35 , 36 , 12 , 36 , 0.30 , 36.00 , 36.00 , 100.0% ▲, Downward Trend
IN2,60111762,IN260111762,FLANGE SCREW,,,98,482,441,1304,1694,,,54,,,,4073,, 339 , 9 , -   , 339 , -   , 9.00 , 9.00 , 100.0% ▲, Downward Trend
IN2,67-1195,IN267-1195,ROAD TRAIN STICKER,,,,,,,,,,,,23,2,25,, 2 , 4 , 8 , 8 , 4.00 , 4.00 , 4.00 , 100.0% ▲, Upward Trend
IN2,67-70900,IN267-70900,FMS & Trip count Connected Mobility Device,,,,,,,,,,,1,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,67-71064,IN267-71064,AC GAS-R134A,,,,,,1,,1,,,,3,2,7,, 1 , 1 , 2 , 2 , 2.00 , 1.00 , 1.00 , 100.0% ▲, Upward Trend
IN2,67-71086,IN267-71086,CCV PLUG (D13K)STEP-E,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,67-71095,IN267-71095,CCV plug D13K Step-D,,,,,,,1,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,67-85225,IN267-85225,AC GAS R1234YF,,4,2,4,7,2,2,6,5,5,2,4,3,46,, 4 , 4 , 3 , 4 , 0.80 , 4.00 , 4.00 , 100.0% ▲, Moderate Trend
IN2,75-9018,IN275-9018,JACK 30TON,,,2,,,,,,,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,8140912,IN28140912,DOOR WINDOW PANE LH,,,,,,,1,,,,,1,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,8189873,IN28189873,WINDSCREEN,,3,1,,,,,1,,,,1,4,10,, 1 , 1 , 2 , 2 , 2.00 , 1.00 , 1.00 , 100.0% ▲, Upward Trend
IN2,946810,IN2946810,LOCK NUT,,1136,,,,,1697,1312,,,,,,4145,, 345 , 219 , -   , 345 , -   , 219.00 , 219.00 , 100.0% ▲, Downward Trend
IN2,978922,IN2978922,KIT OF CLS FMX440-19.5-HYVA(4L RES),,44,58,45,9,26,31,6,17,,28,4,,268,, 22 , 9 , 11 , 22 , 0.50 , 9.00 , 9.00 , 100.0% ▲, Downward Trend
IN2,992342,IN2992342,FLANGE SCREW,,,32,,,,,,,,,,,32,, 3 , -   , -   , 3 , -   , -   , -   , ►, Downward Trend
IN2,CLSL00020,IN2CLSL00020,LUBRICANT MET DEV SSV 12K,,,,,,,,,,,,,1,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,CLSL00029,IN2CLSL00029,ELBOW FTG#WE 06L,,2,,,2,1,3,,,,,1,1,10,, 1 , -   , 1 , 1 , 1.00 , -   , -   , ►, Moderate Trend
IN2,CLSL00049,IN2CLSL00049,"HOSE PL300, OD8.4, FROM PUMP 3050 MM",,,,,,,,1,,,,1,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,CLSL00051,IN2CLSL00051,ELBOW FTG,,,,,,,,,,,,5,,5,, -   , 1 , 2 , 2 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
IN2,CLSL00083,IN2CLSL00083,PUSH-IN FITT. WEDKV 6520-6-1/8-S02 DG,,102,58,76,228,201,326,258,237,91,20,259,146,2002,, 167 , 169 , 142 , 169 , 0.90 , 169.00 , 169.00 , 100.0% ▲, Moderate Trend
IN2,CLSL00102,IN2CLSL00102,"TUBE, PA6, 6.0X1.5 BLACK",,150,150,,15,,118,200,100,,,,,733,, 61 , 50 , -   , 61 , -   , 50.00 , 50.00 , 100.0% ▲, Downward Trend
IN2,CLSLS00023,IN2CLSLS00023,PUMP ELEMENT,,,,1,2,2,1,1,,,,1,,8,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
IN2,CLSLS00028,IN2CLSLS00028,"G 06L, STR. UNION, GAL.YELLOW.",,,4,,,,3,,,,,1,,8,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
IN2,CLSLS00051,IN2CLSLS00051,ELBOW FTG,,,,,,,,,,,,12,1,13,, 1 , 2 , 4 , 4 , 4.00 , 2.00 , 2.00 , 100.0% ▲, Upward Trend
IN2,CLSLS00082,IN2CLSLS00082,"SW BANJO FTG#SWVE 06L, 1/8""-27 PTF, SPLSW",,3,12,1,20,13,16,18,15,,,52,22,172,, 14 , 18 , 25 , 25 , 1.80 , 18.00 , 18.00 , 100.0% ▲, Upward Trend
IN2,MT00001,IN2MT00001,ELBOW FITTING FOR MITHRA BODY,,73,75,94,121,129,210,186,152,43,38,104,60,1285,, 107 , 97 , 67 , 107 , 0.60 , 97.00 , 97.00 , 100.0% ▲, Downward Trend
IN2,SK1436,IN2SK1436,SPRING HOOK,,,,,,,,,,,,,1,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,SK2106-01,IN2SK2106-01,TENSION SPRING,,,,,,,,,,,,,2,2,, -   , -   , 1 , 1 , -   , -   , -   , ►, Downward Trend
IN2,SK2405-014,IN2SK2405-014,LOCK JAW 2,,,,,,,,,,,,,1,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,SK2405-18,IN2SK2405-18,BOLT,,,,,,,,,,,,,1,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,SK2405-23,IN2SK2405-23,DOUBLE TESION SPRING,,,,,,,,,,,,,1,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,SK2405-27,IN2SK2405-27,LATCH,,,,,,,,,,,,,1,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,SK2421-56,IN2SK2421-56,WEARING RING FOR JSK38DV50,,,,,,,,,,,,,1,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN2,SK8101-308,IN2SK8101-308,SOCKET HEAD CAP SCREW,,,,,,,,,,,,,3,3,, -   , 1 , 1 , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
IN3,0001JKT,IN30001JKT,WIND JACKET,,,,,,,,,10,2,,7,,19,, 2 , 3 , 2 , 3 , 1.00 , 3.00 , 3.00 , 100.0% ▲, Moderate Trend
IN3,0001POLO-RECO,IN30001POLO-RECO,POLO T-SHIRT RECOSO NEW,,,,,,,,,12,16,27,40,6,101,, 8 , 17 , 24 , 24 , 3.00 , 17.00 , 17.00 , 100.0% ▲, Upward Trend
IN3,0011BBBP,IN30011BBBP,BLUE BERRY BALL PEN,,1,53,1,2,6,5,1,,,1,,,70,, 6 , -   , -   , 6 , -   , -   , -   , ►, Downward Trend
IN3,0022DRBP,IN30022DRBP,DESIGNER ROLLER BALL PEN SET,,3,11,,35,,,41,49,,5,,,144,, 12 , 16 , 2 , 16 , 0.20 , 16.00 , 16.00 , 100.0% ▲, Downward Trend
IN3,01ADWT01,IN301ADWT01,SWEAT SHIRT M&S,,,,2,,,,,,,1,,,3,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN3,01ALLEN01,IN301ALLEN01,T-SHIRT ALLEN,,,,33,34,101,,71,111,31,2,3,3,389,, 32 , 37 , 3 , 37 , 0.10 , 37.00 , 37.00 , 100.0% ▲, Downward Trend
IN3,01BLAROLL01,IN301BLAROLL01,BLACK ROLLER PEN,,2,,50,,15,,,,,,,,67,, 6 , -   , -   , 6 , -   , -   , -   , ►, Downward Trend
IN3,01BLUE01,IN301BLUE01,BLUE BALL PEN,,19,,,,2,,,,,,,,21,, 2 , -   , -   , 2 , -   , -   , -   , ►, Downward Trend
IN3,01CHECKRED01,IN301CHECKRED01,BLUE CHECKRED PEN,,,,,,,,,,,,,200,200,, 17 , 33 , 67 , 67 , 3.90 , 33.00 , 33.00 , 100.0% ▲, Upward Trend
IN3,01DFCH28,IN301DFCH28,T-SHIRT(M&S WHITE BLUE TIPPING),,25,,,,,,,,,,,,25,, 2 , -   , -   , 2 , -   , -   , -   , ►, Downward Trend
IN3,01FS0001,IN301FS0001,FORMAL SHIRT,,,1,1,,4,,,,,2,,,8,, 1 , -   , 1 , 1 , 1.00 , -   , -   , ►, Moderate Trend
IN3,01GREY01,IN301GREY01,"T-Shirt ,Grey Colour",,15,51,24,22,41,30,3,192,76,42,57,10,563,, 47 , 63 , 36 , 63 , 0.80 , 63.00 , 63.00 , 100.0% ▲, Moderate Trend
IN3,01GREYPOLO,IN301GREYPOLO,POLO T-SHIRT NEW,,,,,,,,,,2,22,,,24,, 2 , 4 , 7 , 7 , 3.50 , 4.00 , 4.00 , 100.0% ▲, Upward Trend
IN3,01JKT0001,IN301JKT0001,HALF JACKET-BLUE,,16,4,22,16,21,23,18,26,,9,5,2,162,, 14 , 10 , 5 , 14 , 0.40 , 10.00 , 10.00 , 100.0% ▲, Downward Trend
IN3,01NBWT02,IN301NBWT02,SWEAT SHIRT GREY,,,1,1,,,,,2,,1,,,5,, -   , 1 , -   , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
IN3,01ORNGK01,IN301ORNGK01,T-SHIRT ORANGE,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN3,01POLO01,IN301POLO01,POLO T-SHIRT,,2,1,1,,1,2,,,1,,2,3,13,, 1 , 1 , 2 , 2 , 2.00 , 1.00 , 1.00 , 100.0% ▲, Upward Trend
IN3,01RETOSO01,IN301RETOSO01,RECOSO T-SHIRT,,,,,,,7,21,,2,1,,,31,, 3 , 4 , -   , 4 , -   , 4.00 , 4.00 , 100.0% ▲, Downward Trend
IN3,01SILGOL01,IN301SILGOL01,GOLD BALLPEN WITH BLACK SLEEVE,,2,3,1,6,6,10,1,,1,,,,30,, 3 , -   , -   , 3 , -   , -   , -   , ►, Downward Trend
IN3,02BLUE002,IN302BLUE002,BLUE BALL PEN,,,,,,,,,,,,,92,92,, 8 , 15 , 31 , 31 , 3.90 , 15.00 , 15.00 , 100.0% ▲, Upward Trend
IN3,02FSV001,IN302FSV001,FORMAL SHIRT,,,6,8,10,3,5,,49,3,1,,2,87,, 7 , 9 , 1 , 9 , 0.10 , 9.00 , 9.00 , 100.0% ▲, Downward Trend
IN3,02STL002,IN302STL002,T-SHIRT,,29,29,10,5,1,4,23,1,1,1,1,,105,, 9 , 5 , 1 , 9 , 0.10 , 5.00 , 5.00 , 100.0% ▲, Downward Trend
IN3,02ZIP02,IN302ZIP02,POLO T-SHIRT ZIP,,,,9,2,1,,9,,,2,4,12,39,, 3 , 5 , 6 , 6 , 2.00 , 5.00 , 5.00 , 100.0% ▲, Upward Trend
IN3,03BAGKIT01,IN303BAGKIT01,BAGS- KITECH,,100,,,,,,,,,,,,100,, 8 , -   , -   , 8 , -   , -   , -   , ►, Downward Trend
IN3,04LLTBG001,IN304LLTBG001,LEATHER PORT BAG,,,,,,,,,3,,,,,3,, -   , 1 , -   , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
IN3,05GBN003,IN305GBN003,FOLDABLE CAP,,7,30,105,15,101,21,129,193,3,20,,90,714,, 60 , 73 , 37 , 73 , 0.60 , 73.00 , 73.00 , 100.0% ▲, Downward Trend
IN3,05SCBL00,IN305SCBL00,CAP BLACK,,18,67,5,23,163,5,23,,10,45,23,24,406,, 34 , 21 , 31 , 34 , 0.90 , 21.00 , 21.00 , 100.0% ▲, Moderate Trend
IN3,06FSBJ44,IN306FSBJ44,FULL SLEEVE JACKET,,2,,10,9,9,4,7,14,13,3,2,2,75,, 6 , 7 , 2 , 7 , 0.30 , 7.00 , 7.00 , 100.0% ▲, Downward Trend
IN3,06HSBJ44,IN306HSBJ44,HALF SLEEVE JACKET,,1,,1,2,2,1,6,21,1,1,,,36,, 3 , 5 , -   , 5 , -   , 5.00 , 5.00 , 100.0% ▲, Downward Trend
IN3,10000SPCH,IN310000SPCH,SHEAFFER PEN WITH CARD HOLDER,,,2,,2,,5,,1,,,,,10,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
IN3,1000MPB,IN31000MPB,METAL PEN,,,,,,,6,,,4,,,1,11,, 1 , 1 , -   , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
IN3,1000MPBN,IN31000MPBN,METAL PEN NEW,,,,50,,,,,100,,65,5,,220,, 18 , 28 , 23 , 28 , 1.30 , 28.00 , 28.00 , 100.0% ▲, Upward Trend
IN3,100MPPH,IN3100MPPH,PEN HEXA,,,1,,5,1,,,,,,,,7,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
IN3,10MMDCI,IN310MMDCI,MAGIC MUG,,,6,,,,,,,,,,,6,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
IN3,10PSP0001,IN310PSP0001,BROWN BALL PEN & ROLLER PEN SET,,,,,,56,,,,1,2,,,59,, 5 , 1 , 1 , 5 , 0.20 , 1.00 , 1.00 , 100.0% ▲, Downward Trend
IN3,10SGCR00,IN310SGCR00,PEN SINGLE OTHERS,,,,,,40,,,,,,,,40,, 3 , -   , -   , 3 , -   , -   , -   , ►, Downward Trend
IN3,11FMBL00,IN311FMBL00,WALLET SET,,3,,2,1,1,6,,,,,,,13,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
IN3,11FMBPB02,IN311FMBPB02,POWER BANK NEW,,,,1,2,1,,1,,,,,,5,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN3,11PSBL00,IN311PSBL00,PEN-ROLLER SET (ETIOS),,,2,,,,,,,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN3,11ROMAT00,IN311ROMAT00,METAL PENS MAT BLACK,,66,26,60,1,,,,,,,,,153,, 13 , -   , -   , 13 , -   , -   , -   , ►, Downward Trend
IN3,11SSBOL,IN311SSBOL,SS SPORTS BOTTLE 750ml,,,2,7,16,17,1,5,27,3,11,4,2,95,, 8 , 9 , 6 , 9 , 0.80 , 9.00 , 9.00 , 100.0% ▲, Moderate Trend
IN3,11WTBGG01,IN311WTBGG01,GENTS LEATHER WALLET,,4,,2,6,41,,,38,4,8,17,3,123,, 10 , 12 , 9 , 12 , 0.90 , 12.00 , 12.00 , 100.0% ▲, Moderate Trend
IN3,14PROPEN03,IN314PROPEN03,BALLPEN WHITE,,,,,,,,,,3,,1,,4,, -   , 1 , -   , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
IN3,15NOOT00,IN315NOOT00,COFFEE MUG,,2,12,2,,,,,,,,,,16,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
IN3,21BACON03,IN321BACON03,CONVERTIBLE BAGPACK,,6,4,1,,,,,,,,,,11,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
IN3,21BAGEX02,IN321BAGEX02,BACK BAG,,,2,,,7,5,6,2,21,3,13,2,61,, 5 , 8 , 6 , 8 , 1.20 , 8.00 , 8.00 , 100.0% ▲, Upward Trend
IN3,21BTSPKR0,IN321BTSPKR0,BLUETOOTH SPEAKER,,,,,,,,,,3,,1,1,5,, -   , 1 , 1 , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
IN3,21NWJB,IN321NWJB,JUTE BAG,,,,,,,,,93,3,2,2,,100,, 8 , 17 , 1 , 17 , 0.10 , 17.00 , 17.00 , 100.0% ▲, Downward Trend
IN3,21NWSB,IN321NWSB,NON WOVEN SHOPPING BAG,,,,,,177,116,2,8,6,2,21,3,335,, 28 , 7 , 9 , 28 , 0.30 , 7.00 , 7.00 , 100.0% ▲, Downward Trend
IN3,DIA-2355,IN3DIA-2355,DIARY,,,10,,4,,,1,55,,,,,70,, 6 , 9 , -   , 9 , -   , 9.00 , 9.00 , 100.0% ▲, Downward Trend
IN7,22770448,IN722770448,POWER TAKE-OFF,,,,,,,,,,,,4,0,4,, -   , 1 , 1 , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
IN7,23135528,IN723135528,DPF Filter,,,,1,1,,,,,,,1,,3,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN7,23518966,IN723518966,LINK ROD,,,,,,,,,,,0,,,0,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN7,23518970,IN723518970,LINK ROD,,,,,,,,,,10,0,,,10,, 1 , 2 , -   , 2 , -   , 2.00 , 2.00 , 100.0% ▲, Downward Trend
IN7,23957929,IN723957929,SHAFT,,,,,,,,,,,,2,0,2,, -   , -   , 1 , 1 , -   , -   , -   , ►, Downward Trend
IN7,24464234,IN724464234,Tyre 12x24- 20 PR - 160/155 F,,,,3,,1,,,,,,,,4,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN7,67-71230-PCK-OFFF-KIT,IN767-71230-PCK-OFFF-KIT,PCK Kit Oil Filter(3) & Fuel Filter(2) Case,,,,,,,,,,1,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN7,67-71231-PCK-C-KIT,IN767-71231-PCK-C-KIT,PCK KIT CLUTCH (1) CASE,,,,,,,,,,1,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN7,67-71232-PCK-ALT-KIT,IN767-71232-PCK-ALT-KIT,PCK KIT ALTERNATOR (1)CASE,,,,,,,,,,1,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN7,67-71233-PCK-SBB-KIT,IN767-71233-PCK-SBB-KIT,"PCK KIT SHOCK ABSORBER(1) ,BALL JOINT, BRAKE PAD",,,,,,,,,,1,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN7,67-71234-PCK-AF-KIT,IN767-71234-PCK-AF-KIT,PCK KIT AIRFILTER(1),,,,,,,,,,1,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN7,67-71275,IN767-71275,DRIVER SEAT PC24,,,,,,,,,,,,5,2,7,, 1 , 1 , 2 , 2 , 2.00 , 1.00 , 1.00 , 100.0% ▲, Upward Trend
IN7,67-71276,IN767-71276,CO-DRIVER SEAT PC24,,,,,,,,,,,,5,2,7,, 1 , 1 , 2 , 2 , 2.00 , 1.00 , 1.00 , 100.0% ▲, Upward Trend
IN7,84168569,IN784168569,KERB OBSERVATION MIRROR,,,,,,,,,,,,1,0,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN8,22562592,IN822562592,HOSE FRAME OIL MODULE MD,,,,,,,,,,,,4,4,8,, 1 , 1 , 3 , 3 , 3.00 , 1.00 , 1.00 , 100.0% ▲, Upward Trend
IN8,23217880,IN823217880,Gasket,,,,,,,,1,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN8,23217888,IN823217888,INLET MANIFOLD PIPE,,,,,,,,1,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN8,23226593,IN823226593,V-CLAMP,,,,,,,,1,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN8,23370164,IN823370164,REFLECTOR RED TAPE,,,,,,4,5,2,2,0,2,5,,20,, 2 , 2 , 2 , 2 , 1.00 , 2.00 , 2.00 , 100.0% ▲, Moderate Trend
IN8,23370276,IN823370276,REFLECTOR YELLOW TAPE,,,,,,6,5,5,4,,,12,,32,, 3 , 4 , 4 , 4 , 1.30 , 4.00 , 4.00 , 100.0% ▲, Upward Trend
IN8,23484468,IN823484468,PIPE,,1,,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN8,23739155,IN823739155,FILTER ELEMENT,,1,,,,,,,,1,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN8,23743296,IN823743296,"INSERT ,PRIMARY FUEL FILTER BSVI",,1,,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN8,23977177,IN823977177,ADAPTER,,,,,,,,1,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN8,24477737,IN824477737,Engine MDE8 bus  B8R 350hp,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN8,3034872,IN83034872,SHIM,,,2,,,,,2,,,,,,4,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
IN8,3034888,IN83034888,SHIM 1MM,,,2,,,,,,,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
